词,频次,主题,例句
依然,10,情感与互动,papi酱的春晚预测: 2017的作品2023居然依然适用
全家福,10,春晚内容相关,无偿送给今年的春晚导演组: 全家福，但没老人
折叠,10,其他,有烂梗的春晚才叫过年呐: 12.华为：三折叠，怎么折都有面
左下角,10,春晚内容相关,《2025年蛇年春晚烂梗小品精选》: 等一下，左下角全家福是不是小头爸爸和张小丽？
气笑,10,情感与互动,无偿送给今年的春晚导演组: 给气笑了
专业,10,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 专业的事交给专业的人
儿化,10,春晚内容相关,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 南方人还儿化音呐
南方人,10,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 这口音就不是南方人
哥,10,其他,我想看这样的春晚: 我要看脱缰凯凯哥！
外贸,10,其他,无偿送给今年的春晚导演组: 在广东做外贸
正常,9,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 就说有正常人会干这种事么
专家,9,其他,2024春晚小品押题《三胎》: 太ex了专家 呵
说话,9,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宝强说话我都听不清楚他在说什么，感觉口齿不清晰，没有字幕简直就是灾难
线,9,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 春晚的最后一道防线了属于是
需要,9,其他,2024春晚小品押题《三胎》: 因为考试需要李华
开头,9,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 麻蛋这开头吓得我在地铁上一秒退出去了
这味,9,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 天呐，这味太对了
哇袄,9,情感与互动,2024春晚小品押题《三胎》: 哇袄
号,9,年度与时间,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个可以解释吧，本来就是他的车他的号码。
道理,9,其他,2024春晚小品押题《三胎》: 有点道理
咂,9,吐槽与负面情绪,无偿送给今年的春晚导演组: 但是有饺咂呀
b,9,其他,《2025年蛇年春晚烂梗小品精选》: blued
拉,9,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 氛围感拉满，所有小品精髓都get了，希望春晚导演看到，小本本上能划掉一些写好的剧本
就行了,9,其他,求求各位，不要再押题春晚小品了……: 别看就行了
错,9,吐槽与负面情绪,我想看这样的春晚: 啊啊啊啊啊啊没错宇宙中心
诶,9,情感与互动,2024春晚小品押题《三胎》: 我的妈诶，味太对了
指,9,其他,2024春晚小品押题《三胎》: 又不是养不起，指白米饭管饱
先,9,其他,求求各位，不要再押题春晚小品了……: 公式流 遥遥领先
猫,9,其他,我想看这样的春晚: 豹猫绝配，这个是真想看
语,9,春晚内容相关,《2025年蛇年春晚烂梗小品精选》: 骂它们真是侮辱了汉语
气,9,情感与互动,你觉得今年春晚最有可能出现哪些梗？: 大学生咋这么老气
难受,9,情感与互动,你觉得今年春晚最有可能出现哪些梗？: 真是相当难受哈哈哈哈
内容,9,春晚内容相关,求求各位，不要再押题春晚小品了……: 邻居吵架都比这有内容
押韵,9,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 太押韵了，不像
我服,9,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我服了
正确,9,其他,有烂梗的春晚才叫过年呐: 正确了
看着,9,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这胖子看着就烦。。。
hhh,9,情感与互动,papi酱的春晚预测: hhhhhhhhhhhh 笑不活了
改成,9,春晚内容相关,求求各位，不要再押题春晚小品了……: 改成夫妻吵架了呗
眼神,9,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 智慧的眼神
们,9,其他,二进制小品: “爸妈等了一年又一年，我们留下，为的是让你好团圆！”
地铁,9,其他,2025春晚小品预测，这届网友太有才了: 打算春晚就看那个挖地铁和盗墓的小品，然后耍手机了
好玩,9,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宝强带点邢台口音，我河北人看着觉得挺好玩哈哈
一般,9,吐槽与负面情绪,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 沈腾那个也一般，根本没看下去的欲望
放,9,春晚内容相关,有烂梗的春晚才叫过年呐: 放冰柜里
可是,9,其他,求求各位，不要再押题春晚小品了……: 可是…本来就没有小品啊
5,9,年度与时间,papi酱的春晚预测: 现在时间：2023年1月15日
几年,9,年度与时间,2024春晚小品押题《三胎》: 好几年没看春晚了，现在已经进化到这种风格了吗？可以可以
外卖,9,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 外卖：我是什么很贱的外卖吗？
形式,9,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 脱口秀这种艺术形式本就不适合大型典礼
进度条,9,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 恐怖故事，进度条还没过半
这俩,9,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这俩更完蛋
不适,9,吐槽与负面情绪,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 脱口秀这种艺术形式本就不适合大型典礼
主题,9,春晚主题,2025春晚小品预测，这届网友太有才了: 这能叫主题？
一次,9,春晚内容相关,求求各位，不要再押题春晚小品了……: 不压题博主怎么出有热度视频？一年难得一次好几回不得多出几个
理解,9,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 理解你丫
太冲,9,其他,有烂梗的春晚才叫过年呐: 这味儿可太冲了
刚,9,年度与时间,8秒看完2025年春晚: 刚到大学赶上了科派诺毁内脏蛋白粉
为,9,其他,无偿送给今年的春晚导演组: 是啊 不生孩子为什么要结婚？我直接不结
正好,9,情感与互动,求求各位，不要再押题春晚小品了……: 那不正好
印象,9,情感与互动,求求各位，不要再押题春晚小品了……: 关键是小品，这两个字那个字体现了说小品一定要搞笑的？？这不是刻板印象嘛
耳机,9,其他,你觉得今年春晚最有可能出现哪些梗？: 同款耳机，大学统一订购用来考四六级的
天津,9,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 天津饭直呼内行
鞋底,9,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这不在带个蘸料？毕竟有的蘸料那可是沾鞋底都香正好配套了
魔幻,9,春晚内容相关,【旧曲新歌奥密克戎】2022春晚押题相声: 魔幻bgm
两分钟,9,年度与时间,【旧曲新歌奥密克戎】2022春晚押题相声: 两分钟有点烫
直播,9,春晚内容相关,无偿送给今年的春晚导演组: 好好好，有种就这样，直播把弹幕开起来
以前,9,年度与时间,我想看这样的春晚: 我春晚只想看语言类节目（当然这是指以前那种），完全不想看那些演员跨界唱难听的歌曲，
特别,9,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宁的表演一直很。。。特别是欢乐喜剧人的东西看到就想。。。。
只有,9,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 没有最尬只有更尬
短,9,春晚内容相关,2024春晚小品押题《三胎》: 这个短发怎么和张凯力健那么像
混,9,吐槽与负面情绪,8秒看完2025年春晚: 云小鬼不准混！！！！！
之,9,其他,无偿送给今年的春晚导演组: 神之一手
傅园慧,9,明星与节目,papi酱的春晚预测: 傅园慧
再来,9,情感与互动,papi酱的春晚预测: 2023再来一遍
地,9,其他,2024春晚小品押题《三胎》: 平常要脚趾扣地就算了，过年的都不让我的脚趾休息休息，救命
脸,9,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 小黄脸塑料袋出现了！
离婚,9,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个其实原剧本就是离婚，抄都抄不明白
很多,9,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 摄影师比这四个好很多了
妈妈,9,情感与互动,《2025年蛇年春晚烂梗小品精选》: 子涵妈妈（三胎备孕中）
原,9,其他,2024春晚小品押题《三胎》: 原来孩子是婆婆的逆天
三弦,9,春晚内容相关,【旧曲新歌奥密克戎】2022春晚押题相声: 当年冯巩欲找我三弦老师拜师，一次进入北京曲艺圈，我老师没收doge
中国,9,其他,二进制小品: 这个小品只有中国人能看得懂
强,9,春晚内容相关,求求各位，不要再押题春晚小品了……: 强行误会真没有嘛(doge)
王宁,9,明星与节目,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宁的表演一直很。。。特别是欢乐喜剧人的东西看到就想。。。。
兮,9,其他,我想看这样的春晚: 虞书欣丁禹兮！！！！
TFBOYS,9,明星与节目,我想看这样的春晚: 让TFBOYS合体！！！！！！
邓紫棋,9,明星与节目,我想看这样的春晚: 啊啊啊啊啊！邓紫棋！！！
压力,8,吐槽与负面情绪,2024春晚小品押题《三胎》: 就现在的生活压力，你凭什么觉得自己一定能活到80?
拥,8,情感与互动,2024春晚小品押题《三胎》: 你把人笑拥了
喝,8,其他,8秒看完2025年春晚: 我妈说我喝过
真怀,8,情感与互动,2024春晚小品押题《三胎》: 结尾一定是真怀上了
数学,8,其他,求求各位，不要再押题春晚小品了……: 九省联考数学
呐,8,其他,2024春晚小品押题《三胎》: 孩脑袋挺尖呐
看见,8,春晚内容相关,《2025年蛇年春晚烂梗小品精选》: 看见奶龙了
认可,8,情感与互动,2024春晚小品押题《三胎》: 不是秀香我不是很认可
哎呀,8,情感与互动,2025年春晚押题小品之《再见老登》: 怎么没有 ：好啦！哎呀
怀孕,8,其他,2024春晚小品押题《三胎》: 艾丽假怀孕骗婆婆比这好笑
包饺,8,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 包饺砸！
容易,8,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 最容易出现经典结尾的一集
真不错,8,情感与互动,2024春晚小品押题《三胎》: up演技真不错
米诺斯,8,其他,2024春晚小品押题《三胎》: 三孩，阿米诺斯
差评,8,吐槽与负面情绪,2024春晚小品押题《三胎》: 如果把过程放出来就不点差评
烦,8,吐槽与负面情绪,"2024春晚小品押题《三胎》: 是烦""死""了 烦""死""了"
嗯,8,情感与互动,2024春晚小品押题《三胎》: 嗯……怎么不是呢
精髓,8,春晚内容相关,2024春晚小品押题《三胎》: 太精髓了，哈哈哈哈哈
连招,8,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 流畅丝滑的连招
干嘛,8,吐槽与负面情绪,2024春晚小品押题《三胎》: 所以不生了，干嘛要让孩子受苦？
阿,8,其他,2025年春晚押题小品之《再见老登》: 那个麦克阿瑟他演过长津湖在那里面就能看到在一艘美军的舰船上
关,8,春晚内容相关,求求各位，不要再押题春晚小品了……: 《》关键是要生孩子
B,8,其他,有烂梗的春晚才叫过年呐: 鲁A济南车～鲁B青岛的～
喷,8,吐槽与负面情绪,我想看这样的春晚: 别的没笑，成毅演杂技给我笑喷了（吃饭ing）
就要,8,年度与时间,2024春晚小品押题《三胎》: 可是再生一个那两个就要照顾7个了（疑惑）
没事,8,情感与互动,无偿送给今年的春晚导演组: 没事，都撒那么多币了，不缺你一个人
小孩,8,春晚内容相关,2024春晚小品押题《三胎》: 那他俩得多惨呐，照顾四个老人，三个小孩
一天,8,年度与时间,papi酱的春晚预测: 距离2024过年还有一天！
存在,8,其他,2024春晚小品押题《三胎》: 你是否还存在都是个问题
头皮发麻,8,吐槽与负面情绪,2024春晚小品押题《三胎》: 头皮发麻了
转折,8,春晚内容相关,二进制小品: 《二战转折点》
4,8,年度与时间,papi酱的春晚预测: 2024了
",",8,其他,"2024春晚小品押题《三胎》: 啊啊啊啊啊啊,好尬"
确信,8,情感与互动,papi酱的春晚预测: 基尼太美（确信）
woc,8,其他,2024春晚小品押题《三胎》: woc？30生二胎？
至此,8,年度与时间,2024春晚小品押题《三胎》: 至此，已成艺术
已成,8,年度与时间,2024春晚小品押题《三胎》: 至此，已成艺术
放假,8,年度与时间,2024春晚小品押题《三胎》: 除夕不是不放假吗。。
虽然,8,其他,8秒看完2025年春晚: 虽然莫名其妙 但是好笑
二进制,8,其他,二进制小品: 真二进制
灵魂,8,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 那个嗨害嗨太灵魂
吃饱,8,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我的天啊，我已经吃饱了不要再包了
多少,8,春晚内容相关,我想看这样的春晚: 单依纯专辑上《多少的光阴》！！！
兄弟,8,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 味太冲了  我遭不住了兄弟们
高手,8,明星与节目,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 玩梗高手
晚上,8,年度与时间,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 要不三十晚上就看这个得了，一码回事
币,8,其他,你觉得今年春晚最有可能出现哪些梗？: 真不错  投币
下次,8,年度与时间,【旧曲新歌奥密克戎】2022春晚押题相声: 唱得很好，下次不许唱了
口音,8,春晚内容相关,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 这口音暴露了……
能量,8,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 正能量
笑点,8,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这小品的笑点全在大哥这
哪里,8,其他,2025年春晚押题小品之《再见老登》: 这豆角哪里老了
标准,8,其他,2025年春晚押题小品之《再见老登》: City发音好标准，英语不错
站,8,其他,《2025年蛇年春晚烂梗小品精选》: 站位布豪
南方,8,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈哈哈经典河南方言
高能,8,春晚内容相关,《2025年蛇年春晚烂梗小品精选》: 左下角的小电视全程高能
天天,8,年度与时间,2025春晚小品预测，这届网友太有才了: 不是吧，除了老年人，谁还看春晚，365天，天天被教育，过个年也要被教育
大学,8,其他,你觉得今年春晚最有可能出现哪些梗？: 老年大学（确信）
疫情,8,春晚内容相关,papi酱的春晚预测: 从2022年来的，有疫情，买口罩！
...,8,未知,我想看这样的春晚: 我嘞个甄嬛传...不得不看了
巳,8,年度与时间,2025春晚小品预测，这届网友太有才了: 今年吉祥物名字巳生生就能说明问题
赵本山,8,明星与节目,二进制小品: 越来越怀念赵本山
差点,8,吐槽与负面情绪,无偿送给今年的春晚导演组: 在图书馆差点憋死
吵,8,吐槽与负面情绪,8秒看完2025年春晚: 好吵的视频
8,8,年度与时间,papi酱的春晚预测: 8年后还能用
骇死,8,吐槽与负面情绪,8秒看完2025年春晚: 阿呀，骇死我力！
高考,8,其他,求求各位，不要再押题春晚小品了……: 编剧刚从高考出题人的职位上退下来
0,8,其他,papi酱的春晚预测: 2023年12月14日
观看,8,春晚内容相关,papi酱的春晚预测: 2023平安夜前来观看
流传,8,春晚内容相关,papi酱的春晚预测: 经典咏流传
只能,8,其他,二进制小品: 这种视频也能火，只能说明多数的网民是搐生
青海,8,其他,《2025年蛇年春晚烂梗小品精选》: 要是真有青海摇明年春晚就别办了
耿鬼,8,春晚内容相关,《2025年蛇年春晚烂梗小品精选》: 耿鬼？
牛批,8,吐槽与负面情绪,【旧曲新歌奥密克戎】2022春晚押题相声: 好家伙  一人分饰两角  冯老师牛批
开花,8,春晚内容相关,【旧曲新歌奥密克戎】2022春晚押题相声: 两开花两开花
锅包肉,8,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 一块68就是一块锅包肉68，一块儿是指所有加起来68
宝可梦,8,其他,二进制小品: 三只宝可梦
旭东,8,明星与节目,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 马旭东，喜2里很好的演员，就是这个作品给耽误了
周杰伦,8,明星与节目,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 哎呦，差点看成周杰伦
这演,8,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这演的什么狗屁？
狗屁,8,吐槽与负面情绪,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这演的什么狗屁？
王妈,8,春晚内容相关,我想看这样的春晚: 支持给王妈团队留一桌
记住,8,情感与互动,无偿送给今年的春晚导演组: ↑记住个der啊？剧透昵蚂啊？
瑞士,8,其他,有烂梗的春晚才叫过年呐: 什么都是梗，瑞士卷是什么梗？没听说过，也不想知道这种没价值的梗
三棱锥,7,其他,2024春晚小品押题《三胎》: 怀了个三棱锥
公司,7,其他,2024春晚小品押题《三胎》: 大年三十不在公司吗
那些,7,春晚内容相关,2024春晚小品押题《三胎》: 很抽象，但是很符合那些专家的说法
60,7,年度与时间,【旧曲新歌奥密克戎】2022春晚押题相声: 6000
作文,7,其他,无偿送给今年的春晚导演组: 命题作文成功
儿,7,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 少儿频道都没这么尬吧
tm,7,其他,无偿送给今年的春晚导演组: 这tm还有续集
触发,7,情感与互动,2024春晚小品押题《三胎》: 触发关键词
不算,7,吐槽与负面情绪,2024春晚小品押题《三胎》: 这个笑料已经不算尴尬了
到位,7,春晚内容相关,2024春晚小品押题《三胎》: 这尬味儿拿捏太到位了！！
害怕,7,情感与互动,2024春晚小品押题《三胎》: 我开始害怕了！
婆婆,7,春晚内容相关,2024春晚小品押题《三胎》: 结尾婆婆怀了，皆大欢喜
一模一样,7,春晚内容相关,2024春晚小品押题《三胎》: 一模一样的
要来力,7,情感与互动,2024春晚小品押题《三胎》: 要来力！
两,7,其他,求求各位，不要再押题春晚小品了……: 关键是小品，这两个字那个字体现了说小品一定要搞笑的？？这不是刻板印象嘛
就算,7,情感与互动,2024春晚小品押题《三胎》: 平常要脚趾扣地就算了，过年的都不让我的脚趾休息休息，救命
rap,7,明星与节目,2024春晚小品押题《三胎》: rape段
儿子,7,其他,2024春晚小品押题《三胎》: 儿子和媳妇的负担你是一点儿不想啊
不够,7,吐槽与负面情绪,2024春晚小品押题《三胎》: ？二胎不够吗
段,7,春晚内容相关,【旧曲新歌奥密克戎】2022春晚押题相声: 这段是中国早期摇滚
幽默,7,春晚内容相关,2024春晚小品押题《三胎》: 我楞了一秒然后突然笑了哈哈哈哈幽默
减轻负担,7,春晚内容相关,2024春晚小品押题《三胎》: 那你咋不多生给儿子减轻负担咧
安排,7,春晚内容相关,2024春晚小品押题《三胎》: 经典误会/谎言开场，再安排最后结局真怀了
辣,7,春晚内容相关,2024春晚小品押题《三胎》: 好～～～～～～～～～辣！
过去,7,年度与时间,我想看这样的春晚: 哈哈哈哈哈哈哈哈哈什么好东西过去了，禹宙中欣！！
准备,7,春晚内容相关,2024春晚小品押题《三胎》: 60了，三个孩子就准备分家产咯
咯,7,其他,2025年春晚押题小品之《再见老登》: 煽情部分来咯
我家,7,其他,2024春晚小品押题《三胎》: 如果有泰裤辣我直接把我家电视砸掉
结果,7,春晚内容相关,2024春晚小品押题《三胎》: 六个人出钱养一两个孩子负担很重，结果是一两个人要照顾六个人负担更重
BGM,7,春晚内容相关,2024春晚小品押题《三胎》: BGM对味
嘻,7,情感与互动,2024春晚小品押题《三胎》: 笑嘻了
左边,7,春晚内容相关,2024春晚小品押题《三胎》: 左边女的演出了贾玲的感觉
拉满,7,春晚内容相关,2024春晚小品押题《三胎》: 很春晚！节目效果拉满
心脏,7,其他,2024春晚小品押题《三胎》: 心脏骤停
骤停,7,春晚内容相关,2024春晚小品押题《三胎》: 心脏骤停
过多,7,吐槽与负面情绪,2024春晚小品押题《三胎》: 要素过多
质量,7,吐槽与负面情绪,【旧曲新歌奥密克戎】2022春晚押题相声: 这质量可以啊
买,7,其他,papi酱的春晚预测: 从2022年来的，有疫情，买口罩！
出院,7,其他,无偿送给今年的春晚导演组: 出院!
不管,7,其他,2024春晚小品押题《三胎》: 你不管现在生孩子养孩子的负担是吧
以后,7,年度与时间,2024春晚小品押题《三胎》: 搞得好像生的多以后就会有人养似的说不定到时候还是得靠自己的存款养老
胃,7,其他,我想看这样的春晚: 卧槽，太对我胃口，这不管年轻人老年人可都是太喜欢了
出去,7,其他,8秒看完2025年春晚: 出去吃
变成,7,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 突然变成科幻片了
憋不住,7,吐槽与负面情绪,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 看到左边快憋不住了哈哈哈哈哈哈
看得,7,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 看得出左边这个要绷不住了
衣服,7,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 对不起，他说生了我还以为他从衣服底下拿出来一堆饺子（
阶段,7,年度与时间,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: boss进入第二阶段
只要,7,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 疯狂押题，只要压的多，就一定会压中
隔壁,7,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这是隔壁吴老二吧
加班,7,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 加班不该给加班费吗？
张译,7,明星与节目,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 张译既视感
配音,7,春晚内容相关,二进制小品: 后面的帮布请你配音吧
单身,7,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 横批单身是狗
终于,7,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 终于看到催婚了
有个,7,其他,你觉得今年春晚最有可能出现哪些梗？: 有个锤子才，这不赵本山和宋丹丹吗？
小时,7,年度与时间,我想看这样的春晚: 妈呀直接往这个席上放个摄像头 我直接看五小时
熟悉,7,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 好熟悉。。。
脚,7,其他,无偿送给今年的春晚导演组: 脚指头已经开始三室一厅了
讽刺,7,吐槽与负面情绪,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 能不能来个讽刺遛狗不牵绳的 
中文,7,其他,2025年春晚押题小品之《再见老登》: 将军也不容易啊  全程中文
豆角,7,其他,2025年春晚押题小品之《再见老登》: 豆角真的蚌埠组了
麦克阿瑟,7,其他,2025年春晚押题小品之《再见老登》: 麦克阿瑟FC
嗷,7,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我绞嗷
太棒了,7,情感与互动,2025年春晚押题小品之《再见老登》: 这豆角可太棒了
前方,7,其他,【旧曲新歌奥密克戎】2022春晚押题相声: 前方核能
搁,7,其他,2025年春晚押题小品之《再见老登》: 你俩搁这儿押题呢？
晚会,7,春晚内容相关,2025年春晚押题小品之《再见老登》: 笑死，真的像是春晚会出的节目
金,7,春晚内容相关,papi酱的春晚预测: 那个说伊万布拉金斯基的给我站住！露厨一生一起走
坷垃,7,其他,2025年春晚押题小品之《再见老登》: 金坷垃 金坷垃
无所谓,7,情感与互动,2025春晚小品预测，这届网友太有才了: 无所谓反正我不看
没意思,7,吐槽与负面情绪,2025春晚小品预测，这届网友太有才了: 现在春晚真没意思了，不如玩手机
广告,7,其他,有烂梗的春晚才叫过年呐: 这里是模仿那个Q宝广告
没错,7,情感与互动,2025春晚小品预测，这届网友太有才了: 没错，你以为会怎样？
成,7,其他,我想看这样的春晚: 哈哈哈哈，成毅杂技吗？
哇,7,情感与互动,你觉得今年春晚最有可能出现哪些梗？: 哇塞，这大制作
区别,7,其他,8秒看完2025年春晚: 真实，10年的活得和00后没什么区别
热度,7,情感与互动,8秒看完2025年春晚: 来来来，都给点热度，看看春晚怎么搞
讲,7,春晚内容相关,无偿送给今年的春晚导演组: 照理讲，也可以切入连线父母的桥段了。
鬼,7,其他,《2025年蛇年春晚烂梗小品精选》: 耿鬼
来看,7,情感与互动,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 回来看
秦岚,7,明星与节目,papi酱的春晚预测: 救命，孙涛和秦岚的那个小品
张颂文,7,明星与节目,我想看这样的春晚: 我去啊啊啊啊啊张颂文张译我的椰奶
警告,7,吐槽与负面情绪,papi酱的春晚预测: 只因警告
吼吼,7,情感与互动,papi酱的春晚预测: 吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼
呜,7,情感与互动,我想看这样的春晚: 还有人记得我们三小只，呜呜呜
全部,7,其他,papi酱的春晚预测: 全部压中
好多,7,情感与互动,无偿送给今年的春晚导演组: 精神状态好多了
下去,7,情感与互动,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 要说尬的还真不如照相馆，这虽然玩烂梗，但起码还看得下去
diss,7,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 我要diss你
广告位,7,其他,《2025年蛇年春晚烂梗小品精选》: 哪来的广告位招商。
崩,7,吐槽与负面情绪,无偿送给今年的春晚导演组: 实在没活可以咬打火机  怕崩嘴可以咬没气的
张小丽,7,明星与节目,《2025年蛇年春晚烂梗小品精选》: 小头爸爸，张小丽，小丸子，图图，大头怪婴
好活,7,春晚内容相关,《2025年蛇年春晚烂梗小品精选》: 好活
礼崩乐坏,7,吐槽与负面情绪,【旧曲新歌奥密克戎】2022春晚押题相声: 我先来，礼崩乐坏
冰冰,7,明星与节目,【旧曲新歌奥密克戎】2022春晚押题相声: 最近疫情严重，我让冰冰在家不去上班（doge）
摇滚,7,明星与节目,【旧曲新歌奥密克戎】2022春晚押题相声: 新长征路上的摇滚！！！
一共,7,春晚内容相关,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 一块(每块的意思)和一块(一共的意思)
一块儿,7,情感与互动,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 第一个一块儿是就一个，第二个一块儿是全部一起
进制,7,其他,二进制小品: 饺进制小品
四六级,7,其他,你觉得今年春晚最有可能出现哪些梗？: 熟悉的四六级听力耳机
大赛,7,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 有一说一马旭东在喜剧大赛里表演真的好，演的村长真的笑死我
歌,7,春晚内容相关,我想看这样的春晚: 支持情歌对唱！！！！！！
人见人爱,7,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 《人见人爱》
看点,7,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 也就秦岚好看是看点了
豹猫,7,其他,我想看这样的春晚: 支持啊啊啊！豹豹猫猫！
成毅来,7,明星与节目,我想看这样的春晚: 成毅来个杂技哈哈哈哈确实可以
能活,6,吐槽与负面情绪,2024春晚小品押题《三胎》: 没关系，可能活不到八十呢
久,6,年度与时间,2024春晚小品押题《三胎》: 能活那么久吗
仨,6,春晚内容相关,2024春晚小品押题《三胎》: 十八十八，两年生仨
考研,6,其他,2024春晚小品押题《三胎》: 考研英语一图画作文：《养老踢皮球》
弹幕,6,情感与互动,2024春晚小品押题《三胎》: 一直都没笑，直到弹幕有人说“二战转折点”，我tm笑死了好哈哈哈哈哈哈哈哈哈哈
哪吒,6,明星与节目,2024春晚小品押题《三胎》: 哪吒这个太巧妙了现在的春晚编剧想不出来的
六个,6,其他,2024春晚小品押题《三胎》: 孩子：我生出来的意义就是为了照顾你六个呗？
明年,6,年度与时间,2024春晚小品押题《三胎》: 刚满18这个梗太新了明年才会用
生个,6,其他,《2025年蛇年春晚烂梗小品精选》: 生个水蛇腰小男娘出来
蜂蜜,6,其他,2024春晚小品押题《三胎》: 有俩蜂蜜水？
9,6,年度与时间,我想看这样的春晚: 9月！！！！！！！！！算你有品
生就,6,其他,《2025年蛇年春晚烂梗小品精选》: 我感觉可以就大学生就业展开
名,6,明星与节目,papi酱的春晚预测: 我只能说现在这些名场面演员差不多都退出春晚舞台了 现在大部分是流量
